team left,team right,campeonatos,urls
NAVI,FURIA,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Kitsune,Monarch,ESEA S52 - ZA Open,https://liquipedia.net/counterstrike/ESEA/Season_52/Open/South_Africa
Eco Warr.,nomercy,ESL Impact League S7: EU,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/Europe
Prototype,LHC,ESL Impact League S7: EU,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/Europe
MP,Hesta,ESEA S52 - EU Open10,https://liquipedia.net/counterstrike/ESEA/Season_52/Open10/Europe
unrated,FS,ESEA S52 - EU Main,https://liquipedia.net/counterstrike/ESEA/Season_52/Main/Europe
PLANO,Messi,ESL Impact League S7: SA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/South_America
MIBR Fe,Bears,ESL Impact League S7: SA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/South_America
BH,aYa,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
aYa,BH,ECL Season 49: South America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/South_America/Weeks_6_to_10
Mindfreak,Housebets,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
ex-TALON,Vantage,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Ghost,Nouns.fe,ESL Impact League S7: NA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/North_America
JUNERS,SN Comets,ESL Impact League S7: NA,https://liquipedia.net/counterstrike/ESL/Impact_League/Season_7/North_America
Kraken.B,LAG,ESEA S52 - NA Intermediate,https://liquipedia.net/counterstrike/ESEA/Season_52/Intermediate/North_America
Grand,MILKED,ESEA S52 - NA Main,https://liquipedia.net/counterstrike/ESEA/Season_52/Main/North_America
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Monte,Aurora,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
IG,GOne,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
Huns,Falcons,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Astralis.T,Lazer,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
FAVBET,Apogee,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
FaZe,Astralis,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Spirit,MOUZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
WL,Z10,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
Rhyno,RUSH B,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
RED.A,VELOX.AR,GC Liga Série A: Mar. '25,https://liquipedia.net/counterstrike/Gamers_Club/Liga_S%C3%A9rie_A/2025/March
VP,Vitality,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
NAVI.Y,Aurora YB,ESEA S52 - EU Intermediate,https://liquipedia.net/counterstrike/ESEA/Season_52/Intermediate/Europe
OG,Aurora,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
XRAVEL,rTalent,UKIC League S5: Div. 2,https://liquipedia.net/counterstrike/UKIC/League/Season_5/Division_2
Partizan,NVRMR,ESEA S52 - EU Advanced,https://liquipedia.net/counterstrike/ESEA/Season_52/Advanced/Europe
América,ShindeN,ESEA S52 - SA Open,https://liquipedia.net/counterstrike/ESEA/Season_52/Open/South_America
SemperFi,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Marca,anything else,ESEA S52 - NA Advanced,https://liquipedia.net/counterstrike/ESEA/Season_52/Advanced/North_America
BJAYS,Partyz,ECL Season 49: North America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/North_America/Weeks_6_to_10
Partyz,BJAYS,ECL Season 49: North America,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/North_America/Weeks_6_to_10
Rooster,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
Insilio,Preasy,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
Y.Ninjas,IG,United21 Season 29,https://liquipedia.net/counterstrike/United21/Season_29
Sashi,Alliance,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
Imperial,Liquid,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
WC Acad,NVRMR,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
CPHW,Skinvault,United21 Season 29,https://liquipedia.net/counterstrike/United21/Season_29
JANO,ENCE AC,Elisa Open Suomi Season 9,https://liquipedia.net/counterstrike/Elisa/Open_Suomi/Season_9
TBD,TBD,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
BP,DogEvil,ESEA S52 - Asia Open,https://liquipedia.net/counterstrike/ESEA/Season_52/Open/Asia
Z10,WL,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
TBD,M80,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
HAVU,Skinvault,Elisa Open Suomi Season 9,https://liquipedia.net/counterstrike/Elisa/Open_Suomi/Season_9
BC.Game,ECSTATIC,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
G2,EF,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
TBD,MongolZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
TBD,TBD,Dfrag Invitational 2025,https://liquipedia.net/counterstrike/Dfrag/Invitational/2025
Lilmix,kONO.ECF,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
ENCE AC,Astralis.T,United21 Season 29,https://liquipedia.net/counterstrike/United21/Season_29
Legion,FLAT,ESEA S52 - OCE Open,https://liquipedia.net/counterstrike/ESEA/Season_52/Open/Oceania
Fire Flux,CHMR,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Y.Ninjas,CPHW,EU Pro League Div. 2 S26,https://liquipedia.net/counterstrike/European_Pro_League/Season_26/Division_2
kONO.ECF,WOPA,United21 Season 29,https://liquipedia.net/counterstrike/United21/Season_29
EK.VELL,4E,Elisa Open Suomi Season 9,https://liquipedia.net/counterstrike/Elisa/Open_Suomi/Season_9
NAVI Jr.,FAVBET,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
NLE,ex-UHKA,Elisa Open Suomi Season 9,https://liquipedia.net/counterstrike/Elisa/Open_Suomi/Season_9
Monte,9INE,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
GHY,Välgu,Meistriliiga S2,https://liquipedia.net/counterstrike/Kleverr/Meistriliiga/Season_2
HAVENs,hypewrld,Virslīga S4,https://liquipedia.net/counterstrike/Kleverr/Virsl%C4%ABga/Season_4
Tds,M1Z,Meistriliiga S2,https://liquipedia.net/counterstrike/Kleverr/Meistriliiga/Season_2
LusHi,MightyW,Virslīga S4,https://liquipedia.net/counterstrike/Kleverr/Virsl%C4%ABga/Season_4
God,bpeek,Meistriliiga S2,https://liquipedia.net/counterstrike/Kleverr/Meistriliiga/Season_2
BANGA,CE,Virslīga S4,https://liquipedia.net/counterstrike/Kleverr/Virsl%C4%ABga/Season_4
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
NAVI,FURIA,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Monte,Aurora,Galaxy Battle // STARTER,https://liquipedia.net/counterstrike/Galaxy_Battle/2025/STARTER
Huns,Falcons,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
FaZe,Astralis,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Spirit,MOUZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
VP,Vitality,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
OG,Aurora,A1 Gaming League Season 10,https://liquipedia.net/counterstrike/A1_Gaming_League/Season_10
Imperial,Liquid,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,M80,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
G2,EF,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,MongolZ,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
Permitta,BIG,DACH CS Masters Season 3,https://liquipedia.net/counterstrike/DACH_CS_Masters/Season_3
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
B8,Nemiga,ECL Season 49: Europe,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/Europe
Spirit.A,Aurora,ECL Season 49: Europe,https://liquipedia.net/counterstrike/ESL/Challenger_League/Season_49/Europe
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,BLAST Open Spring 2025,https://liquipedia.net/counterstrike/BLAST/Open/2025/Spring
TBD,TBD,MESA Nomadic Masters,https://liquipedia.net/counterstrike/MESA/Nomadic_Masters/2025/Spring
TBD,TBD,MESA Nomadic Masters,https://liquipedia.net/counterstrike/MESA/Nomadic_Masters/2025/Spring
TBD,TBD,MESA Nomadic Masters,https://liquipedia.net/counterstrike/MESA/Nomadic_Masters/2025/Spring
